NumericID,Name_Master,configID,Name_Config,name,Category,SubCategory
DETAIL-002179,Blackberries,blackberries-fresh,Fresh,,Food,Fruits
DETAIL-002180,Black-Eyed Peas,black-eyed-peas-dry,Dry,,Food,Vegetables
DETAIL-002181,Blood Oranges,blood-oranges-fresh,Fresh,,Food,Fruits
DETAIL-002182,Blueberries,blueberries-fresh,Fresh,,Food,Fruits
DETAIL-002183,New Book,new-book-average,Average,,Shop,Books & magazines
DETAIL-002184,New Book,new-book-recycled,Recycled,,Shop,Books & magazines
DETAIL-002185,New Book,new-book-virgin,Virgin,,Shop,Books & magazines
DETAIL-002186,Play Music,play-music-active,Active,,Live,Digital
DETAIL-002187,Play Music,play-music-standby,Standby,,Live,Digital
DETAIL-002188,Bread,bread-conventional,Conventional,,Food,Breakfast
DETAIL-002189,Bread,bread-organic,Organic,,Food,Breakfast
DETAIL-002190,Bread,bread-800g-loaf,800g loaf,,Food,Breakfast
DETAIL-002192,Broccoli,broccoli-fresh,Fresh,,Food,Vegetables
DETAIL-002193,Broccoli,broccoli-frozen,Frozen,,Food,Vegetables
DETAIL-002195,Brown Rice,brown-rice,,,Food,Ingredients
DETAIL-002196,Brussels Sprouts,brussels-sprouts-fresh,Fresh,,Food,Vegetables
DETAIL-002197,Brussels Sprouts,brussels-sprouts-frozen,Frozen,,Food,Vegetables
DETAIL-002198,Bulgur,bulgur,,,Food,Side Dish
DETAIL-002199,Burger Patty,burger-patty-beef,Beef,,Food,"Meat, Fish & Eggs"
DETAIL-002200,Burger Patty,burger-patty-soy,Soy,,Food,"Meat, Fish & Eggs"
DETAIL-002212,Burger Patty,burger-patty-peas,Peas,,Food,"Meat, Fish & Eggs"
